Right Angle Dot d:F R' F' R U R U' R':      .   .   .\n    +---+---+---+\n  . | Y | Y | . | Y\n  . | Y | Y | . | Y\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
Dot a:R U2 R2 F R F' U2 R' F R F':      .   Y   .\n    +---+---+---+\n  Y | . | . | . | Y\n  Y | . | Y | . | Y\n  Y | . | . | . | Y\n    +---+---+---+\n      .   Y   .\n
Dot b:r U r' U2 r U2 R' U2 R U' r':      Y   Y   Y\n    +---+---+---+\n  . | . | . | . | .\n  Y | . | Y | . | Y\n  Y | . | . | . | Y\n    +---+---+---+\n      .   Y   .\n
Dot c:r' R2 U R' U r U2 r' U M':      Y   Y   .\n    +---+---+---+\n  . | . | . | . | Y\n  Y | . | Y | . | Y\n  . | Y | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Dot d:M U' r U2 r' U' R U' R' M':      .   Y   Y\n    +---+---+---+\n  Y | . | . | . | .\n  Y | . | Y | . | Y\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
Dot e:F R' F' R2 r' U R U' R' U' M':      .   Y   .\n    +---+---+---+\n  . | Y | . | . | Y\n  Y | . | Y | . | Y\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
Dot f:r U R' U R U2 r2 U' R U' R' U2 r:      .   Y   .\n    +---+---+---+\n  . | Y | . | Y | .\n  Y | . | Y | . | Y\n  . | . | . | . | .\n    +---+---+---+\n      Y   Y   Y\n
Dot g:r' R U R U R' U' M' R' F R F':      .   Y   .\n    +---+---+---+\n  . | Y | . | Y | .\n  Y | . | Y | . | Y\n  Y | . | . | . | Y\n    +---+---+---+\n      .   Y   .\n
Dot h:r U R' U' M2 U R U' R' U' M':      .   Y   .\n    +---+---+---+\n  . | Y | . | Y | .\n  Y | . | Y | . | Y\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Cross a:R U2 R' U' R U R' U' R U' R':      Y   .   Y\n    +---+---+---+\n  . | . | Y | . | .\n  . | Y | Y | Y | .\n  . | . | Y | . | .\n    +---+---+---+\n      Y   .   Y\n
Cross b:R U2 R2 U' R2 U' R2 U2 R:      .   .   Y\n    +---+---+---+\n  Y | . | Y | . | .\n  . | Y | Y | Y | .\n  Y | . | Y | . | .\n    +---+---+---+\n      .   .   Y\n
Cross c:R2 D R' U2 R D' R' U2 R':      .   .   .\n    +---+---+---+\n  . | Y | Y | Y | .\n  . | Y | Y | Y | .\n  . | . | Y | . | .\n    +---+---+---+\n      Y   .   Y\n
Cross d:r U R' U' r' F R F':REMEMBER TO DO
Cross e:F' r U R' U' r' F R:      .   .   .\n    +---+---+---+\n  Y | . | Y | Y | .\n  . | Y | Y | Y | .\n  . | Y | Y | . | .\n    +---+---+---+\n      .   .   Y\n
Cross f:R U2 R' U' R U' R':      .   .   .\n    +---+---+---+\n  Y | . | Y | Y | .\n  . | Y | Y | Y | .\n  . | . | Y | . | Y\n    +---+---+---+\n      Y   .   .\n
Cross g:R U R' U R U2 R':      Y   .   .\n    +---+---+---+\n  . | . | Y | . | Y\n  . | Y | Y | Y | .\n  . | Y | Y | . | .\n    +---+---+---+\n      .   .   Y\n
Four Corners a:r U R' U' r' R U R U' R':      .   .   .\n    +---+---+---+\n  . | Y | Y | Y | .\n  . | Y | Y | . | Y\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Four Corners b:R U R' U' M' U R U' r':      .   Y   .\n    +---+---+---+\n  . | Y | . | Y | .\n  . | Y | Y | Y | .\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
C a:R U R2 U' R' F R U R U' F':      .   Y   .\n    +---+---+---+\n  Y | . | . | . | Y\n  . | Y | Y | Y | .\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
C b:R' U' R' F R F' U R:      .   .   .\n    +---+---+---+\n  . | Y | Y | . | Y\n  Y | . | Y | . | Y\n  . | Y | Y | . | Y\n    +---+---+---+\n      .   .   .\n
Extended Z a:L F' L' U' L U F U' L':      Y   Y   .\n    +---+---+---+\n  . | . | . | Y | .\n  . | Y | Y | Y | .\n  . | Y | . | . | Y\n    +---+---+---+\n      .   Y   .\n
Extended Z b:R' F R U R' U' F' U R:      .   Y   Y\n    +---+---+---+\n  . | Y | . | . | .\n  . | Y | Y | Y | .\n  Y | . | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Z Dot a:R U R' U' R U' R' F' U' F R U R':      Y   .   .\n    +---+---+---+\n  . | . | Y | Y | .\n  . | Y | Y | . | Y\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
Z Dot b:F R' F R2 U' R' U' R U R' F2:      Y   .   .\n    +---+---+---+\n  . | . | Y | . | Y\n  . | Y | Y | . | Y\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Z Dot c:R U R' U R U2 R' F R U R' U' F':      Y   .   Y\n    +---+---+---+\n  . | . | Y | . | .\n  . | Y | Y | . | Y\n  . | Y | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Z Dot d:R' U' R U' R' U2 R F R U R' U' F':      .   Y   .\n    +---+---+---+\n  . | Y | . | Y | .\n  . | Y | Y | . | Y\n  . | . | Y | . | .\n    +---+---+---+\n      Y   .   Y\n
